week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
3,1.2800651540333878,0.18762523777731444,3.3160181930917694,6169.0,0.094400394,1.0,5.233940219509083
4,0.6321542191436322,0.017528287975796853,2.2642653364083536,4633.0,0.106681648,0.0,0.7725946592431703
5,15.999717994360783,10.879396551788856,22.4367201922144,4.280307e6,64.867703824,43.0,9.954857564600392
6,20.25000164624758,18.04590724891655,22.531819177398987,1.17700556e8,1902.79660621,551.0,16.663707605461628
7,0.19983215198697588,0.13965651439664573,0.2817955766743479,517940.0,9.522785119,31.0,0.1575388145707979
8,0.9105609503076757,0.7785965931052317,1.031334260220164,905377.0,18.182002809,189.0,1.0042086498354008
9,0.9839906286482275,0.8485140945870151,1.1346228311417235,847284.0,17.31499449,192.0,1.0757882216620804
10,2.8570647150093915,2.629725311713069,3.095504195722102,1.769621e6,37.911636965,607.0,2.792898161076485
11,0.03033012159662396,0.014554098686536864,0.05345472668255082,899833.0,19.102871156,8.0,0.028802310568901514
1,NaN,NaN,NaN,0.0,0.0,1.0,4.374834793394483
2,7.210411473778519,2.514084809963507,14.376441796918652,50150.0,0.64427103,5.0,2.6363378515905804
3,3.098039820570547,1.2975716064479816,5.770183007930304,20709.0,0.271838983,6.0,5.233940219509083
4,0.7541010146699546,0.15340166517571385,1.8425447403294781,14816.0,0.520474724,2.0,0.7725946592431703
5,10.087176420598096,7.67946216329852,12.974497831322315,919029.0,14.490566422,66.0,9.954857564600392
6,17.082489826862563,15.632016869227051,18.69489155502391,6.2093562e7,997.993069897,724.0,16.663707605461628
7,0.20313137840331055,0.1449720234973622,0.27077327562905895,727983.0,12.588543481,43.0,0.1575388145707979
8,0.9562704468652141,0.8458540484985341,1.0694753745623602,1.214044e6,22.530520329,263.0,1.0042086498354008
9,0.9705877512169155,0.8549431324396322,1.0917994773864803,1.176588e6,23.56020652,254.0,1.0757882216620804
10,2.806141945943193,2.6283778650766045,3.000525961438976,2.580251e6,54.110596392,798.0,2.792898161076485
11,0.025172862374944198,0.012440109741334042,0.04218723219451063,1.163653e6,24.214116001,9.0,0.028802310568901514
1,NaN,NaN,NaN,0.0,0.0,3.0,4.374834793394483
2,4.135560650202063,1.6239828822353741,8.235890449291816,19357.0,0.324032936,5.0,2.6363378515905804
3,1.4317041308623104,0.39205574594591214,3.078126661230627,13348.0,0.172570653,3.0,5.233940219509083
4,0.884657756348577,0.19234443139126636,1.987769741618037,13334.0,0.185551644,2.0,0.7725946592431703
5,12.871265493759543,10.085131714388044,16.17523457702064,2.214168e6,34.038753346,76.0,9.954857564600392
6,19.181213673813225,17.702896995036454,20.854028315390725,1.62754433e8,2569.836445247,946.0,16.663707605461628
7,0.17462320826143587,0.12722599555723493,0.22857938803618594,889387.0,15.768369479,47.0,0.1575388145707979
8,0.8549789698049451,0.7665248630768969,0.9572500952247501,1.516834e6,28.465581975,302.0,1.0042086498354008
9,1.0786586139948144,0.9741088931122459,1.1914110051014657,1.580946e6,31.629990313,355.0,1.0757882216620804
10,2.922804538287705,2.7493405244859623,3.114991281072966,3.308942e6,68.7748816,1066.0,2.792898161076485
11,0.024788340219422694,0.0139083270846796,0.03939660474933749,1.559575e6,32.656021294,12.0,0.028802310568901514
1,NaN,NaN,NaN,0.0,0.0,3.0,4.374834793394483
2,2.9227210308131517,0.7619556599049647,6.499756183020604,10865.0,0.173291996,3.0,2.6363378515905804
3,4.614573909693142,2.3050810490843037,7.843963690191774,42738.0,0.539599474,11.0,5.233940219509083
4,0.20205953699531445,0.005669136749805913,0.7488605225788785,14821.0,0.219682584,0.0,0.7725946592431703
5,12.105300898481996,9.776713284145135,14.733986661488377,2.52899e6,38.31557036,106.0,9.954857564600392
6,17.101859740020263,15.873137447085488,18.309795424203855,9.7344817e7,1554.155168957,1097.0,16.663707605461628
7,0.18681058754289004,0.1456440582296122,0.2401346507936866,1.073406e6,19.74255846,60.0,0.1575388145707979
