week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI,trueR
3,4.457063869588701,2.480011520841646,7.7793292611177165,519.0,0.004979293,10.0,23.0,4.8414856032725035
4,0.8291511608151634,0.430995908030732,1.4282029974405692,226.0,0.002387371,3.0,5.0,0.4144404995386519
5,3.7290855389664967,1.9034635125807167,5.301367028245057,615.0,0.020233636,21.0,35.0,3.082119461021942
6,1.2374154430360818,0.8201200279574282,1.8021337037470608,335.0,0.004490931,9.0,23.0,1.1409759228310004
7,1.7579610666031633,1.3240610125593026,2.2539105197835227,871.0,0.02724458,22.0,37.0,1.7762379124081487
8,4.072755074418086,3.5842686691015673,4.518667820827409,3463.0,0.130512909,76.0,128.0,3.4862159769409393
9,3.4111993175215547,2.9841234971240795,3.9650907284907597,3669.0,0.212336489,126.0,260.0,4.227672078656145
10,0.5153536982059183,0.4103599853820819,0.6083012882639609,1750.0,0.027289945,34.0,69.0,0.6461990470163427
11,8.259832548705017,7.965125056345119,8.453510439197684,108179.0,3.024637206,884.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,5.0,6.0,8.654322319140327
2,3.4808495905428316,2.1649607187286954,5.898097224915405,158.0,0.002151686,6.0,9.0,5.03113256374237
3,3.2820397096469263,2.1584587740098415,5.084803902608141,428.0,0.004125052,13.0,23.0,4.8414856032725035
4,0.6025210030895811,0.21182068455183098,1.2027548369082086,167.0,0.001790266,2.0,5.0,0.4144404995386519
5,2.485816862456081,1.526827157848097,3.655027742802929,487.0,0.005595038,18.0,35.0,3.082119461021942
6,1.2642355831983507,1.043682675039793,1.7149044482209077,412.0,0.00526133,13.0,23.0,1.1409759228310004
7,1.3823144990563228,0.8229197731295527,1.9270675396140706,513.0,0.008195553,16.0,37.0,1.7762379124081487
8,4.711311495040873,3.7960480324866817,5.849503541644742,1808.0,0.03385331,77.0,128.0,3.4862159769409393
9,4.304754176985324,3.520522887068401,5.0860313940154125,3066.0,0.062593393,165.0,260.0,4.227672078656145
10,0.5680577849333018,0.4065311879289,0.7142549591757048,2716.0,0.120757431,40.0,69.0,0.6461990470163427
11,8.287568039043807,7.948175680180114,8.505081937220575,73443.0,2.630487979,1051.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,5.0,6.0,8.654322319140327
2,3.622462256864657,2.24169508256368,5.7996773122613865,273.0,0.003416271,7.0,9.0,5.03113256374237
3,4.276409634509539,3.4814211539013473,5.887722481059428,938.0,0.021783004,16.0,23.0,4.8414856032725035
4,0.3610365971965414,0.0879198074693122,0.8630272723234543,181.0,0.002453454,2.0,5.0,0.4144404995386519
5,2.7165206450841763,1.9996064488735776,3.6384672114544188,858.0,0.024555912,24.0,35.0,3.082119461021942
6,1.1699130727534357,0.8831323380388171,1.7334698093893985,328.0,0.016174288,14.0,23.0,1.1409759228310004
7,1.4895108680868936,1.0187464346637352,1.9811462342748136,1304.0,0.036124223,23.0,37.0,1.7762379124081487
8,4.093078461172469,3.354909266957268,4.649597604191531,2226.0,0.124053537,82.0,128.0,3.4862159769409393
9,3.750350329283813,3.4386318526211412,4.146347670073829,7864.0,0.393704167,164.0,260.0,4.227672078656145
10,0.5883268396203334,0.4882620943377903,0.7185387266662788,3791.0,0.121984712,49.0,69.0,0.6461990470163427
11,8.928018121192318,8.675668981664103,9.278525712922505,87930.0,2.803791422,1209.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,6.0,6.0,8.654322319140327
