week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
67,2019-08-08,0.9580801418484683,0.6564152387206638,1.3307009247008246,105589.0,0.159346153,36,180
68,2019-08-15,0.9680343056822446,0.6585204194518814,1.3537341937445448,105406.0,0.168993567,35,175
69,2019-08-22,0.9123884546930083,0.6084557616085425,1.2751771794413396,105122.0,0.167513763,32,159
70,2019-08-29,0.5775819490971347,0.34613493941951,0.8807572264394192,103682.0,0.157647635,19,95
71,2019-09-05,0.8287159615659542,0.5124582856271699,1.230286223558869,103854.0,0.158731852,23,116
72,2019-09-12,0.7032217768475535,0.40495180644061773,1.0951117178040581,102977.0,0.166522978,17,83
73,2019-09-19,0.5010753182051675,0.24168532754454236,0.8620012718304616,101953.0,0.156242882,10,51
74,2019-09-26,0.6395305374184782,0.3108891110141404,1.1161083534551404,102486.0,0.158668043,10,49
75,2019-10-03,0.5810347484317913,0.24590213829074895,1.0816748649470767,102050.0,0.166815852,7,34
76,2019-10-10,1.2924744707812181,0.6643401792611436,2.1725657091971606,105059.0,0.1617464,13,64
77,2019-10-17,0.9993129763897949,0.4690026260028848,1.7533264429829853,103796.0,0.167020199,10,50
78,2019-10-24,1.0127215108206853,0.4741707233416182,1.7863073225442885,103689.0,0.172865635,10,48
79,2019-10-31,0.5666447744332165,0.1961640420199228,1.1481952589721034,101904.0,0.16034385,5,24
80,2019-11-07,0.5794048015290965,0.1778291031161789,1.238640888633363,101890.0,0.164975653,4,22
81,2019-11-14,1.477793794345305,0.6608548061586892,2.69883505784987,105435.0,0.172074572,9,45
82,2019-11-21,0.6954158377927673,0.213452065598668,1.4952400021026198,102274.0,0.162737155,4,18
83,2019-11-28,1.1127242683721896,0.41594803428973626,2.24431353031999,103827.0,0.167459416,6,28
84,2019-12-05,2.7514906093041236,1.4355033997752726,4.641844100430679,111221.0,0.180724206,16,82
85,2019-12-12,0.7305704051804978,0.27628926656806324,1.4443290424145545,102560.0,0.157964199,6,30
86,2019-12-19,0.5531075347550414,0.16871791704675718,1.1920255008822884,101776.0,0.162745556,4,22
87,2019-12-26,1.0875949500017823,0.4392304354377235,2.0916724807875537,103928.0,0.169744436,7,36
88,2020-01-02,0.435401859189515,0.0848034841471128,1.0870917022668427,101226.0,0.159614888,2,12
89,2020-01-09,1.912707949986301,0.8301381376508746,3.569643780658757,107259.0,0.17187268,9,45
90,2020-01-16,0.4829029700708019,0.09271303681951922,1.2195888269637425,101283.0,0.172320679,2,8
91,2020-01-23,0.5919356933823988,0.11422256338114312,1.5091579962391783,101606.0,0.163776273,2,11
92,2020-01-30,0.7695045122185068,0.14996163834242104,1.9854127132053299,102038.0,0.164160482,2,8
93,2020-02-06,0.642844133797324,0.07620383772484295,1.9085570044339368,101333.0,0.168382918,1,5
94,2020-02-13,0.8567474521214898,0.09382435248708167,2.5777814113518525,101798.0,0.170875977,1,3
95,2020-02-20,0.5485844407395143,0.012519042124011384,2.158057290037434,100002.0,0.163517223,0,0
96,2020-02-27,0.8061860832302193,0.018905383010511916,3.2179215735314277,100002.0,0.183420045,0,0
97,2020-03-05,3.2502559575388106,0.550984077346399,9.240120113083588,111283.0,0.18138902,2,10
98,2020-03-12,0.8681631609804329,0.01809610934765442,3.5091444455082716,100002.0,0.166410891,0,0
99,2020-03-19,2.066756291957772,0.20756834183251735,6.6334589406489375,104817.0,0.179443958,1,3
100,2020-03-26,1.981337667052927,0.1973830903871991,6.378381860731908,104640.0,0.168175538,1,6
101,2020-04-02,1.8597602306105048,0.18398657724663056,6.034091314716311,104175.0,0.173276067,1,3
102,2020-04-09,1.7693595755453828,0.1784082169482667,5.626254976744278,103862.0,0.176687654,1,7
