"","t_start","t_end","meanRt","quantile0025","quantile0975"
"32209",10,10,4.85907976432815,4.23816583710532,5.52181901099722
"32210",11,11,2.43018636964566,2.13825289896232,2.74052860223268
"32211",2,2,2.90577110851516,2.66089286666252,3.16127416648307
"32212",3,3,4.53523573736468,2.47945558002686,7.20143471598572
"32213",4,4,2.99769556347589,1.87863984993045,4.37400991402154
"32214",5,5,4.31331885116311,3.27528384183058,5.49205306336026
"32215",6,6,0.325160513616188,0.155927105142368,0.555530346529508
"32216",7,7,3.96091062563761,3.25538681885249,4.73460039610311
"32217",8,8,0.448039302685929,0.287067235259956,0.644267316807952
"32218",9,9,5.06154410446862,4.47469808501535,5.68402412616952
"32219",10,10,2.34153282105841,2.0810695018588,2.61713091710127
"32220",11,11,3.01214373353407,2.78361874564506,3.24955545383743
"32221",2,2,4.04173519625684,2.20965424195857,6.41781240065336
"32222",3,3,2.66086379806045,1.64711662926352,3.91379840676367
"32223",4,4,6.31033891363616,5.03337345290891,7.72948814475656
"32224",5,5,0.275173740978586,0.137365740051446,0.460049370000925
"32225",6,6,3.6051559228029,3.02061628909434,4.24063282470901
"32226",7,7,0.375986428145972,0.243318592003017,0.537060481720773
"32227",8,8,4.53979253891101,4.03227543069884,5.0769566158988
"32228",9,9,2.44113719631018,2.18706706949049,2.70896705516815
"32229",10,10,3.09088404995693,2.87173237193305,3.31797942995147
"32230",11,11,4.800385535691,2.93220019571294,7.12157681583226
"32231",2,2,2.02406115357693,1.25292575558846,2.97714122903846
"32232",3,3,5.46332165464951,4.3639072937119,6.68438791293779
"32233",4,4,0.266334840128607,0.132953392593506,0.445272048759905
"32234",5,5,4.05572337217366,3.4404657993192,4.72084578503932
"32235",6,6,0.391154600613217,0.261962374966733,0.545833260685733
"32236",7,7,4.75625047443214,4.26754908574816,5.2710617576667
"32237",8,8,2.41148225626325,2.17835107881829,2.65629436527994
"32238",9,9,2.96620848491874,2.76781925388743,3.17136689573888
"32239",10,10,2.98872100756338,1.09680793530687,5.8122315347829
"32240",11,11,1.95825814745723,0.787321339363054,3.65340305801476
"32241",2,2,3.32818424682549,1.90234486333775,5.14625041944336
"32242",3,3,1.8125797893827,1.03604596260286,2.80272629445998
"32243",4,4,1.21713394077129,0.68122062720608,1.90600100821629
"32244",5,5,1.85686942720625,1.20166798782924,2.65235953857567
"32245",6,6,5.26974456724748,4.24815788643482,6.3997516419761
"32246",7,7,0.395135880426232,0.234182565144337,0.597503554089662
"32247",8,8,12.0501867374361,11.0431989675264,13.1004830902721
"32248",9,9,1.30119439096944,0.354531677768596,2.85198163561153
"32249",10,10,1.14409067214373,0.311726201964579,2.50763883480727
"32250",11,11,6.36097148263829,3.93754160395643,9.35619480875561
"32251",2,2,2.12044461113885,1.2952226560871,3.14577007818793
"32252",3,3,1.39856151696846,0.865731621936414,2.05710936458379
"32253",4,4,2.67720841252302,1.96711204243248,3.4950416801237
"32254",5,5,4.68248058067198,3.92054313882145,5.51107398087871
"32255",6,6,0.417307889606551,0.279477643065701,0.582328638693579
"32256",7,7,10.6165722017025,9.84510254077949,11.4167279844184
"32257",8,8,2.31815679857904,1.00081556771007,4.1792528679286
"32258",9,9,1.27140022787191,0.511168832145235,2.37197403544537
"32259",10,10,5.64090106830871,3.90648797155642,7.68892464795422
"32260",11,11,1.88422062099435,1.27127574060367,2.61585327807421
"32261",2,2,1.04168771365074,0.674125364157924,1.48795079666727
"32262",3,3,2.05376973171006,1.52916646322849,2.65454838680144
"32263",4,4,4.43242554571427,3.75149155024973,5.16930844478309
"32264",5,5,0.405558475713174,0.277401697164082,0.557668574730931
"32265",6,6,11.6956401544594,10.9321489524832,12.4845365082807
"32266",7,7,3.54863776647407,1.77146718735839,5.93279199905536
"32267",8,8,1.24055933663682,0.535585469255253,2.23652307240521
"32268",9,9,4.47427474972572,3.07988486314166,6.12493667489835
"32269",10,10,1.83787541023579,1.24000682152166,2.55151247310954
"32270",11,11,1.41723804257146,0.981478543781221,1.93179004304242
"32271",2,2,1.88465108760264,1.411732991945,2.42483766731579
"32272",3,3,4.2660812470302,3.63255783761757,4.94977636970258
"32273",4,4,0.411962297130117,0.286946834279352,0.559228131995686
"32274",5,5,12.878849045933,12.1064557176233,13.6747894647458
"32275",6,6,3.11066314624524,1.65629711644815,5.01572539201918
"32276",7,7,1.12099205972914,0.512588951664893,1.9633788835383
"32277",8,8,4.31314110225166,3.05223534908102,5.78864693979553
"32278",9,9,1.73993464493934,1.19769095005463,2.38183618906472
"32279",10,10,1.17600934132297,0.804389518897704,1.61708728215475
"32280",11,11,2.0087761780357,1.52917349872415,2.5527953171727
"32281",2,2,4.86236358797048,4.20381746340455,5.56812715634872
"32282",3,3,0.371614715588448,0.26165105446032,0.500566774404879
"32283",4,4,12.8838475673707,12.1686267085322,13.6192041522432
"32284",5,5,2.45173776116058,1.26684867791389,4.02126641997328
"32285",6,6,0.979787996231321,0.423002913471959,1.76639552411715
"32286",7,7,5.17203853101048,3.74302993002041,6.82851001760761
"32287",8,8,1.81467874270253,1.27770130357455,2.4443808243097
"32288",9,9,1.45435385587139,1.05673573809836,1.91448225641751
"32289",10,10,1.81500822841284,1.40078503249316,2.28206768037067
"32290",11,11,4.64027125173857,4.04731760906574,5.27316678399427
"32291",2,2,0.389401694092403,0.282939867049711,0.512600582691169
"32292",3,3,12.37200029329,11.7154582320477,13.0461892549085
"32293",4,4,2.50663437190803,0.813897357559145,5.13438363934219
"32294",5,5,1.66192412711415,0.539622240355853,3.4041486639265
"32295",6,6,10.6894402467676,7.60123697386261,14.2958844142356
"32296",7,7,1.16471367053873,0.701233713933014,1.74386817262096
