week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI,rPosterior_1,rPosterior_2,rPosterior_3,rPosterior_4,rPosterior_5,rPosterior_6,rPosterior_7,rPosterior_8,rPosterior_9,rPosterior_10
2,2018-05-10,0.7471236362170351,0.04393328286474763,2.2317659702957333,67.0,1.057976513,0,0,0.04875326756193634,0.042533932468789615,0.9639161288952492,1.1304101946607494,1.0122012152023037,2.551514421286534,1.0756407067843445,0.2171956734929943,0.3796693473324707,0.0494014744849787
3,2018-05-17,6.430084260927385,4.122498640610225,9.55452728710884,430.0,0.003977023,2,12,5.390934292242974,4.012388914796786,7.6044846242504125,9.80002310896393,5.421115786038842,8.708930567385746,5.894842487327586,6.294265147500172,4.501765473967623,6.672092206799779
4,2018-05-24,0.13563428898316393,0.004229092817509129,0.3349234679416001,143.0,0.001455039,0,0,0.013983973072331816,0.04897695433275001,0.30665971579699536,0.34312907340293697,0.08852104257225664,0.23901927562786213,0.0013970308080444769,0.048315565896471964,0.25208655983612616,0.014253698485863834
5,2018-05-31,0.418151625397738,0.05669832667084598,1.1058447499373072,163.0,0.001680741,0,0,0.3335999375173736,0.11201364190532957,0.45089511394943504,1.2193014193155778,0.10864116542365145,0.2920463674199231,0.629983259522557,0.7150495554121523,0.2783676458332837,0.041618147678096004
6,2018-06-07,0.9867995225662035,0.4136654033675168,1.7076158805799757,214.0,0.002602807,2,3,0.6815617082415705,1.1607705323283237,1.1993610979626526,1.7824990421919065,0.34292782543816075,0.6573170606797428,0.7056035718752682,0.8239222171149045,1.4496849905833251,1.064347179246181
7,2018-06-14,0.2766761735916794,0.028928218345260655,0.5567593582141188,53.0,0.018589467,0,0,0.5580960841120015,0.5521550801214115,0.022720271846849577,0.05031114517312103,0.05866419870008986,0.41044712928612,0.30410990394988674,0.5426594929226227,0.16483184218953578,0.10276658761515534
8,2018-06-21,1.246860476026552,0.2889006697474015,2.6097641842742716,98.0,0.001185205,1,1,2.714678802467895,0.8262743920630533,1.2940288285492143,0.26079444253126866,0.9409133557001754,0.3857110079363035,1.0700784901593345,2.2483916104962347,1.6186733977124546,1.1090604326495865
9,2018-06-28,3.5462832695938653,2.5395281796201026,4.745262270355006,177.0,0.001861088,3,5,2.9487465916194395,4.845696314870302,2.8039161103557735,2.519823967325345,3.126429008891068,4.260252071435309,3.930021937857084,4.39932278369121,2.6073982441909354,4.021225665702185
10,2018-07-05,1.899521612984309,0.7383086563312449,3.7979136799971935,158.0,0.00180623,1,3,0.6758869842617967,1.3127613363061652,1.6614879745794744,2.0220359398338985,2.0134494173433986,4.098419185517001,2.5120491500639126,2.7628391609845226,0.9533166379037883,0.9829703430491317
11,2018-07-12,3.1895941984057954,2.180774288816708,4.781792374268131,306.0,0.002987725,4,9,2.485194985484736,5.0530608320178905,3.2363417336308746,3.0382113853724197,3.5331856733237474,2.118863692048796,3.256570015289855,2.9330685249644888,3.847423242018961,2.394021899906182
