week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
1,NaN,NaN,NaN,0,0,1,5.92333257517564,1
2,1.79403838692827,0.0398839566292655,7.33348341784393,100001,1.646449824,0,2.46934783589151,0
3,1.76825252136631,0.0385425685778517,7.30647502786623,100001,1.088956758,0,1.18879425855869,0
4,2.02797974625998,0.0448069444083132,8.15081084263434,100001,1.182741197,0,0.407123979818272,0
5,2.61848405307941,0.292379076611866,9.3598424914848,122585,1.556186977,2,4.13136337642878,2
6,0.819440147816701,0.0177538261244428,3.38013377679156,100020,1.868227615,0,0.859136360698375,0
7,7.33382116897858,3.00890512780751,14.2478146542898,253619,4.85397122,12,5.90702607043931,12
8,1.56857607050702,0.732652902675786,2.79014168561277,133785,2.385605737,11,2.30415996363525,11
9,0.65818353418625,0.255435238366477,1.26234769217615,117963,2.158571683,6,0.496848301405291,6
10,2.61571063583692,1.68773118304418,3.78709044001834,169767,4.333506345,28,2.42914198167719,28
11,5.89211319826414,4.77614031686971,7.14104490555333,333886,6.521328499,114,4.76237057340466,114
1,NaN,NaN,NaN,0,0,1,2.01000572878981,1
2,1.79810531323388,0.0382785830460425,7.39186687896669,100001,1.532943689,0,0.555799473398546,0
3,1.77355820517208,0.0394390612667428,7.23405509624503,100001,1.101028897,0,9.25528049340929,0
4,4.56469399454108,0.780810404397925,12.6577665159302,116966,1.418603751,2,5.16216397645948,2
5,2.93597283107652,0.960582651246371,6.92209899152791,132862,1.909156756,11,4.09857674357051,11
6,1.61863444014055,0.661681638807891,3.1095754763492,117116,2.220311911,10,2.71759469034817,10
7,0.928891948148004,0.376527676266504,1.7728026327509,110022,2.480130592,7,0.509241933637243,7
8,2.21945200301287,1.43928450993476,3.23403314774864,167667,3.333260303,36,3.37599863143627,36
9,2.35289065402563,1.72408311590798,3.10363283310007,182008,3.788930817,54,2.97206782825531,54
10,0.092565511798701,0.0187693180004204,0.221917445043866,138558,3.209266319,2,0.0412951648239969,2
11,8.72492807514271,7.74037765252969,9.73985002562627,681540,12.319661745,379,7.57249521410812,379
1,NaN,NaN,NaN,0,0,2,12.6510722152587,2
2,1.22355572046246,0.0261955223063963,4.97836048850808,100001,1.848037178,0,2.23364684188884,0
3,10.0201100022907,4.61908314428665,18.7651073962379,154411,1.49278073,17,17.6999179795262,17
4,0.568189992235008,0.112612603417679,1.41606598145537,100854,1.260921102,2,0.2734373803521,2
5,0.669556854193404,0.353192544869394,1.14668050099614,120333,1.567190055,19,2.61384234247489,19
6,0.775243337664349,0.415729234947828,1.25070071410861,118606,2.325049589,19,1.04496893364137,19
7,6.80534938689477,5.43140914225374,8.38414357255689,232621,4.387233298,215,7.83553466479203,215
8,1.62930602535727,1.39888800623041,1.88332237809344,326706,5.214976235,236,2.44677290331929,236
9,0.132960479021926,0.0869246249872447,0.186750259641813,397534,7.406637117,26,0.149240933860881,26
10,1.9848786397454,1.76981635966534,2.20936443867562,391512,7.222409403,363,2.02290915390745,363
11,2.19072208533535,1.99588931053781,2.38849876817053,437591,9.023947724,494,2.01891763660934,494
1,NaN,NaN,NaN,0,0,1,0.951542441730363,1
2,3.09420052366503,0.304799326288961,9.96783852366429,106340,1.932745942,1,2.8258951574289,1
3,3.05050657205379,0.527616700553411,8.56046799633426,106718,1.295611577,2,1.86091266405222,2
4,2.13064549224483,0.387489687983406,5.6741410478835,103783,1.237949302,2,3.13350682289999,2
5,0.153334541606025,0.00322556006816561,0.630754028860354,101241,1.518453343,0,1.77447083545256,0
6,0.645045933298076,0.101992620962736,1.90112371624727,104688,1.840351101,2,2.20082498809872,2
7,1.97631600198833,0.634989781384498,4.36609778125978,120028,2.433704846,6,2.14350051792213,6
8,2.06409637120244,1.01143703103909,3.64756060366141,146688,2.679273212,14,2.69969400635824,14
9,0.642424088130142,0.225513842948495,1.30670998343848,115538,2.533288456,5,0.419386290484736,5
10,0.346859027088091,0.06898722989609,0.844091233356443,109237,2.765208355,2,0.18568965941469,2
11,1.61217469948201,0.786177727126497,2.70907293153628,134691,3.048076008,10,0.718827153802869,10
1,NaN,NaN,NaN,0,0,1,4.06026742642733,1
2,3.08290045150838,0.303982375473165,9.91291516047709,106291,1.965802992,1,2.90238734225869,1
3,1.20767192713758,0.0266097231296167,4.90872646576471,100001,1.173011122,0,0.709509420905711,0
4,3.30928734280532,0.586929337122782,9.04300728704917,107761,1.275245306,2,3.19540552297255,2
5,0.264225405528516,0.00603351635490644,1.15467561145839,100458,1.727405227,0,0.787501751184479,0
6,5.77900508648238,2.47687195292905,11.5316656238974,198001,2.70034404,28,14.0553155269658,28
7,0.289354305666602,0.05951501605742,0.710775200402576,103513,2.173963481,2,0.117861322504139,2
8,4.83944495496357,3.63395687378132,6.24386430243006,292240,4.878711343,119,8.4345262527798,119
9,0.173654943726737,0.0775036091105572,0.316527802717369,161008,3.247816706,7,0.11755121208903,7
10,0.723193504138851,0.495095487092733,0.997564254666552,176462,3.149884473,33,0.618151726502441,33
11,1.53266185531963,1.17297168411657,1.93362669163216,188788,4.108435681,62,1.05193012657674,62
1,NaN,NaN,NaN,0,0,2,3.09615864611716,2
2,3.84264090790156,0.848355866865949,9.98417525562746,109837,1.835397598,3,3.53662487885995,3
3,7.2273402378202,3.58206739246903,12.8434587329613,125353,1.466341666,18,8.6307439177454,18
4,4.45010934171504,2.83535648504578,6.59371065741623,111879,1.471294873,35,3.9424274959924,35
5,1.69138479822491,1.27009947131901,2.20752863095369,160514,2.131671629,146,5.73681050078162,146
