week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
4,2.6120975962697424,0.06941297631207492,9.218338940785491,1870.0,0.048119013,0.0
5,3.59574148491564,0.08375850625289424,12.891819599911884,1481.0,0.044091318,0.0
6,4.019140504010719,0.09484255300857862,14.51345398015744,1206.0,0.050473628,0.0
7,4.972036930505166,0.17462883591628994,18.107973657248746,1069.0,0.043339773,0.0
8,4.8700616774209715,0.11132435642666955,18.19170694019718,1025.0,0.055422701,0.0
9,4.806139725736936,0.13470533252979547,17.53686324717568,1011.0,0.045986185,0.0
10,4.835436228188416,0.11638346966221193,17.440533867781415,1004.0,0.041322826,0.0
11,5.066709763626027,0.12930509243510124,18.12754755202514,1002.0,0.044434319,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.0598968821868695,0.04709916901710925,7.84299494952958,2410.0,0.08354208,0.0
3,3.596827431088875,0.47622267915972416,9.942347750569871,5179.0,0.09639306,1.0
4,2.721851978855337,0.3246234064414816,7.361769342965206,5543.0,0.098547422,1.0
5,4.721777818274681,1.5559826835114432,9.75517933524982,15077.0,0.247800983,4.0
6,3.656909465057482,1.5496393109575244,6.681951464535118,24878.0,0.487825927,7.0
7,5.386084062761987,3.4767870249118022,7.663971521854022,86338.0,1.784212831,25.0
8,5.805285637197766,4.5606571420033175,7.166094117693285,277844.0,5.772088507,78.0
9,2.154218933646899,1.720491505197925,2.6819083413288953,313375.0,7.12687227,75.0
10,1.0473775572130146,0.781445855662384,1.335766262629232,355316.0,8.725623916,56.0
11,2.6640466423733495,2.278757933842137,3.0837768710480065,649246.0,15.363623331,179.0
