week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
20,2018-09-13,1.1814075453505943,0.8335543538624062,1.5785971441221103,211765.0,5.427618782,12,38
21,2018-09-20,1.9121739348343385,1.4607983476521602,2.4072392890938983,262527.0,7.176508619,24,61
22,2018-09-27,0.9997474339082831,0.7261995103589719,1.3391752101887209,258891.0,6.569259113,20,39
23,2018-10-04,1.4760470538956159,1.1440319913834645,1.8475242691463043,340022.0,9.03295519,27,65
24,2018-10-11,1.817955627721847,1.4522769923124166,2.20855489175429,398756.0,10.187745726,34,95
25,2018-10-18,1.507220285997162,1.2136730532953797,1.8231567426032365,480755.0,12.384595073,44,102
26,2018-10-25,1.0030564268289162,0.7931079049199743,1.2199449917096823,540097.0,13.65995466,37,82
27,2018-11-01,0.8319483515365729,0.651451722768058,1.0301756768403794,536708.0,13.584004557,30,71
28,2018-11-08,1.1928140414188262,0.9731670002645868,1.443195147815905,615744.0,15.522418467,36,99
29,2018-11-15,1.1033994785261263,0.8841567681757487,1.3403112180047638,574558.0,14.629782545,35,94
30,2018-11-22,0.7107300385955727,0.5308634396855402,0.9020406878223999,539446.0,13.576870156,31,62
31,2018-11-29,1.8652689974551036,1.5851194186601403,2.1519109845973166,750044.0,18.778540907,56,161
32,2018-12-06,1.0136531133228464,0.839023710146706,1.1894011774090583,628446.0,15.731896374,44,104
33,2018-12-13,0.48441831361724547,0.36408279174671787,0.6256614488323095,623906.0,15.899138014,22,52
34,2018-12-20,0.761043519504667,0.6061007106040686,0.9457165934546741,568596.0,14.49646048,30,70
35,2018-12-27,1.0047609374473259,0.8083902655657051,1.2454962421590634,523764.0,13.345033404,28,80
36,2019-01-03,1.1235821945668916,0.8921539898402528,1.3808396169235844,526780.0,13.365296983,37,86
37,2019-01-10,0.9212215845583314,0.7238887824830483,1.1466362438034545,506255.0,12.983003753,36,72
38,2019-01-17,0.9234611947810151,0.7169988268193899,1.1563296973341637,514485.0,13.10119928,34,71
39,2019-01-24,1.2890454842720787,1.0494996784959436,1.5464251346526523,501246.0,12.83803154,41,98
