week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
9,1.5473926379875937,1.507065881184712,1.588854454870807,1.7124161e7,314.957157037,4741.0,1.5286846588804155
10,3.2641864602146677,3.2138783838159175,3.316993548159289,5.4356464e7,1056.518231243,16844.0,3.3578117446814346
11,1.4537955793950195,1.4290171192023966,1.4785942227691482,4.9458885e7,955.300434797,12792.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,5.0,8.66503087629739
2,10.866781939968101,6.950794957455027,15.882944996405985,527410.0,6.215088543,30.0,7.316251164735972
3,9.920430260459947,8.307625669751918,11.733419737867974,1.671199e6,20.942466609,151.0,8.769448651171299
4,1.5592236550886924,1.2535774986756272,1.8802357669113234,300775.0,4.224073332,86.0,1.3151916925663405
5,3.1665327898027793,2.817682099908451,3.532919022981111,975399.0,14.596247224,300.0,2.9563087174812996
6,7.855971665539552,7.479115711245658,8.252883066634416,1.2440551e7,189.547967027,1713.0,8.128376556555605
7,0.5183949517847497,0.46192414762870126,0.5773291290031694,2.244126e6,37.823468447,320.0,0.47612616639153726
8,8.573618816700444,8.377922924908479,8.760538869618557,8.4125201e7,1478.702205247,9640.0,8.465663206439567
9,1.5422913045999918,1.5016359246050106,1.5817446216905218,1.7946624e7,330.682369923,5258.0,1.5286846588804155
10,3.2994620140725464,3.2520055228436755,3.345801167206296,6.1019927e7,1187.104258345,18938.0,3.3578117446814346
11,1.4684598008505727,1.4448662339707676,1.4919370986929634,5.1922493e7,1057.738157646,14453.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,1.0,12.086933942793959
2,3.0266055945902273,0.4148893596381605,9.086398273231746,4600.0,0.102122082,1.0,2.540659030834623
3,1.1918401795263802,0.036626936385399426,4.415908597294315,2789.0,0.053994913,0.0,1.3706555818563755
4,1.2452611286392665,0.03301327798110086,4.658155016921092,2408.0,0.068978632,0.0,2.6763108447494197
5,7.733188339927357,2.960389511669094,14.234716064158796,70622.0,1.05158846,6.0,4.63885514332503
6,6.893763503203334,4.260075016985615,10.602619984095595,116524.0,2.0620915,19.0,4.6480534316006565
7,1.483647446775549,0.7590982859640707,2.51480645373835,39549.0,0.672475976,11.0,1.4760376138382196
8,0.2757574908038097,0.057093629855371274,0.636656886471535,35252.0,0.958131976,2.0,0.15737831308792136
9,1.7592206470583618,1.0399192216685225,2.688145762243826,58080.0,1.207926876,16.0,1.351118002815832
10,0.9825989881468439,0.45687866244803127,1.7139663282102415,43425.0,1.17842208,9.0,0.8146880271062604
11,1.75636206598243,1.071403070787163,2.6152525358769534,63296.0,1.376787896,19.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,1.0,12.086933942793959
2,4.198540776953542,0.906378838542107,10.091974178966337,9909.0,0.206311497,2.0,2.540659030834623
3,3.6013654066109377,1.155334080122188,7.501038804230127,15917.0,0.190692417,4.0,1.3706555818563755
4,2.035563679604099,0.6697498463694482,4.192374994172094,14514.0,0.192782423,4.0,2.6763108447494197
